Name	Set	ImageFile	Number	CardType	Level	PowerKind	VirtueScoreOrSinnieDefense	FellowshipScoreKind	FellowshipScorePoints	ActivationCost	AbilityText	Weakness	Attribute	VerseReference	VerseText	Artist	Script
Quillow 2 (F)	RLD	12_Quillow_2_F.jpg	12	Virtuous	2	Faith	3x			F	ABILITY: You may place up to 4 cards from your hand beneath this card (and effectively out of play).  When activated, this card earns 3 VP for each card beneath this one.  Discard those cards when this card is discarded.		Trial by Fire	Matthew 5:10		Christina Todd	
Flamingrow 2 (F)	RLD	13_flamingrow_2_F.jpg	13	Virtuous	2	Faith	10			FFx	ABILITY: When this card is played to grow Flamingrow Lv. 1, you may select any 3 cards from your discard pile and place them in any order on the bottom of your deck.		All Things Possible	Mark 9:23		Alex Gil Ble	
Halfalanche ULTRA 1	RLD	14_Halfalanche_Ultra.jpg	14	Virtuous	1	Faith	11			FxFx			Faith Flurry	Mark 11:23		Danh Tran Art	
Luminey ULTRA 1	RLD	15_Luminey_Ultra.jpg	15	Virtuous	1	Faith	15			FFFF			Revealed	Luke 8:17		Danh Tran Art	
Hopper 1	RLD	16_Hopper.jpg	16	Virtuous	1	Hope	4			HHU	ACTION: Search your deck for ANY 2 Animo with a VP score of 8 or less and place them in your hand.  Shuffle your deck afterwards.		Squeak N' Seek	Matthew 7:7		Christina Todd	
Quillow 2 (H)	RLD	17_Quillow_2H.jpg	17	Virtuous	2	Hope	8			HH	ACTION: Search your deck for any 1 Story Card and 1 H power.  Reveal them and put them into your hand.  Shuffle your deck afterward.		Comforted	Matthew 5:4		Christina Todd	
Glimmer 1	RLD	18_Glimmer.jpg	18	Virtuous	1	Hope	4	L	6	HH-			Joy	John 15:11		Lucy_Was_Taken	
Glimmer 2	RLD	19_Glimmer_2.jpg	19	Virtuous	2	Hope	7	L	10	HH	ABILITY: When this card is played from your hand to grow "Glimmer Lv. 1" you may draw 2 cards.		The Golden Rule	Matthew 7:12 (NIV)		Lucy_Was_Taken	
Amaryllis 1	RLD	20_Amaryllis.jpg	20	Virtuous	1	Hope	5	S	8	HU			Provision	Matthew 6:28b-29		Baygent Baker	
Shwimmer 1	RLD	21_Shwimmer.jpg	21	Virtuous	1	Hope	3	S	5	H	ACTION: Search your deck for 1 standard power card and place it directly into your power pool.  Shuffle your deck afterward.		Greater Things	John 14:12		Christina Todd	
Percy 1	RLD	22_Percy.jpg	22	Virtuous	1	Hope	4			HU	ABILITY: When this card is played from your hand into your small group, you may look at the top 5 cards of your deck, take 1, and return the rest in any order.		Cheer Up!	John 16:33		Alex Gil Ble	
Percy 2	RLD	23_Percy_2.jpg	23	Virtuous	2	Hope	10			HHU	ACTION: Search your deck for any 2 cards and place them in your hand.  Shuffle afterward.		Overcomer	Revelation 21:7		Alex Gil Ble	
Flamingrow 2 (H)	RLD	24_Flamingrow_2H.jpg	24	Virtuous	2	Hope	9	F	12	HH-			Repent	Luke 15:10		Alex Gil Ble	
Sowcrow 1	RLD	25_Sowcrow.jpg	25	Virtuous	1	Hope	6			H-H-	ABILITY: When this card is played from your hand into your small group, you may draw 1 card.		Harvest	Matthew 9:37-38		Joshua Wegner	
Sowcrow 2	RLD	26_Sowcrow_2.jpg	26	Virtuous	2	Hope	9			HH-	ABILITY: When this card is played from your hand to grow Sowcrow lv. 1, you may shuffle your hand back into your deck and draw 5 cards.		Ripe for Harvest	John 4:25b		Mangaboi	
Aurora 1	RLD	27_Aurora.jpg	27	Virtuous	1	Hope	4			H	ABILITY: If this card is in your small group, it provides 1 H power during your scoring phase.  This card may not be activated in the turn this ability is used.		Walking on Sunshine	John 8:12		Christina Todd	
Infinifish 1	RLD	28_Infinifish.jpg	28	Virtuous	1	Hope	3			H	ACTION: When this card is to be discarded, you may choose to shuffle it back into your deck instead.  If you do, gain +1 VP to your score.		Enduring	Matthew 28;20b		Danh Tran Art	
Sowcrow ULTRA 1	RLD	29_Sowcrow_ULTRA.jpg	29	Virtuous	1	Hope	12			HUU			Provision	Luke 12:24		Mangaboi	
Percy ULTRA 1	RLD	30_Percy_ULTRA.jpg	30	Virtuous	1	Hope	12			HHH	ABILITY: Once per turn, as long as this card is in your small group, you may draw 1 card.		Overcomer	Revelation 21:7		Alex Gil Ble	
Heartvark 1	RLD	31_Heartvark.jpg	31	Virtuous	1	Love	5			LL			Christ's Love	John 15:9		Joshua Wegner	
Heartvark 2	RLD	32_Heartvark_2.jpg	32	Virtuous	2	Love	7	F	10	LU	ACTION: Search your deck for up to 2 Animo with a VP score of 8 or less.  Reveal them, place them in your hand, and shuffle your deck afterward.		Remaining in Love	John 15:10		Joshua Wegner	
Mongoroo 1	RLD	33_Mongoroo.jpg	33	Virtuous	1	Love	4	S	8	LL			Cheerful Giver	Matthew 5:42		Lucy_Was_Taken	
Flamingrow 2 (L)	RLD	34_Flamingrow_2L.jpg	34	Virtuous	2	Love	8			LU	ABILITY: When this card is played from your hand to grow "Flamingrow Lv. 1", you may search your deck for 1 L power and add it to your power pool.		Love One Another	John 13:34		Alex Gil Ble	
Cordaiwl 1	RLD	35_Cordiawl.jpg	35	Virtuous	1	Love	3			LL			Caring	Luke 6:27		Joshua Wegner	
Cordiawl 2	RLD	36_Cordiawl_2.jpg	36	Virtuous	2	Love	5			L			Cordial	Luke 6:28		Danh Tran Art	
Quillow 2 (L)	RLD	37_Quillow_2L.jpg	37	Virtuous	2	Love	4			L	ACTION: Search your deck for either 1 special power or 2 standard power cards and add it/them to your power pool.  Shuffle your deck afterward.		Merciful	Matthew 5:7		Christina Todd	
Treashell 1	RLD	38_Treashell.jpg	38	Virtuous	1	Love	2			L			Investment	Matthew 13:45-46		Danh Tran Art	
Treashell 2	RLD	39_Treashell_2.jpg	39	Virtuous	2	Love	6			LU			Heavenly Treasure	Matthew 6:20		Danh Tran Art	
Treashell 3	RLD	40_Treashell_3.jpg	40	Virtuous	3	Love	12	H	15	LL	ABILITY: If this card is in your small group, it provides 2 L powers during your scoring phase.  This card may not be activated in the turn this ability is used.		True Treasure	Matthew 6:21		Danh Tran Art	
Ragdalene 1	RLD	41_Ragdelene.jpg	41	Virtuous	1	Love	4	H	8	LL			Poor in Spirit	Matthew 5:3		Joshua Hale	
Salteeny 1	RLD	42_Salteeny.jpg	42	Virtuous	1	Love	5			LL			Salty	Matthew 5:13a		Lucy_Was_Taken	
Salteeny 2	RLD	43_Salteeny_2.jpg	43	Virtuous	2	Love	8	S	11	LL	ABILITY: When played to grow Salteeny Lv. 1, return your active Sinnie to the hand of the player who revealed it to you.		Forgive	Matthew 6:14		Lucy_Was_Taken	
Humbumble 1	RLD	44_Humbumble.jpg	44	Virtuous	1	Love	5	H	10	LUU			Bee-Attitude	Matthew 5:8		Christina Todd	
Treashell ULTRA 1	RLD	45_Treashell_ULTRA.jpg	45	Virtuous	1	Love	12			LLU			True Treasure	Matthew 6:21		Danh Tran Art	
Flo ULTRA 1	RLD	46_Flo_ULTRA.jpg	46	Virtuous	1	Love	9			LU	ABILITY: You may discard this card from your small group.  If you do, search your deck for any 3 Animo, reveal them and place them in your hand.  Shuffle your deck afterward.		Sacrificial Love	John 15:13		Danh Tran Art	
Hybird 1	RLD	47_Hybird.jpg	47	Virtuous	1	Spirit	3			SU			Thirsty	John 4:12-14a		Danh Tran Art	
Hybird 2	RLD	48_Hybird_2.jpg	48	Virtuous	2	Spirit	5			SU	ABILITY: When this card is played from your hand to grow "Hybird Lv.1", you may search your deck for 1 standard power card and place it in your power pool.		Thirst Quencher	John 7:37		Danh Tran Art	
Hybird 3	RLD	49_Hybird_3.jpg	49	Virtuous	3	Spirit	10			SU	ACTION: Search your deck for up to two Virtuous Animo that are either Lv. 2 or Lv. 3		Spring Up	John 4:14b		Danh Tran Art	
Nico 1	RLD	50_Nico.jpg	50	Virtuous	1	Spirit	2			S			Born Again	John 3:3		Danh Tran Art	
Nico 2	RLD	51_Nico_2.jpg	51	Virtuous	2	Spirit	7			SUU			Second Birth	John 3:5		Danh Tran Art	
Nico 3	RLD	52_Nico_3.jpg	52	Virtuous	3	Spirit	11			SUU	ACTION: Search your discard pile for the next growth stage of any Animo in your small group.  You may instantly grow those Animo.		Spiritual Birth	John 3:8		Danh Tran Art	
Guppeace 1	RLD	53_Guppeace.jpg	53	Virtuous	1	Spirit	5			SU			Peace	John 14:27a (KJV)		Joshua Wegner	
Guppeace 2	RLD	54_Guppeace_2.jpg	54	Virtuous	2	Spirit	8			SU	ABILITY: When this card is played from your hand to grow "Guppeace Lv. 1", you may re-shuffle your hand into your deck and draw 6 cards.		Untroubled	John 14:27b (KJV)		Joshua Wegner	
Prayeregrine 1 RLD#55	RLD	55_Prayeregrine_a.jpg	55	Virtuous	1	Spirit	6			SU			The Lord's Prayer	Matthew 6:9 (KJV)		Alex Gil Ble	
Prayeregrine 1 RLD#56	RLD	56_Prayeregrine_b.jpg	56	Virtuous	1	Spirit	8			SUU	ABILITY: If this card is in your small group, it provides 1 F, H, or L power during your scoring phase.  This card may not be activated in the turn this ability is used.		Bird of Pray	Matthew 6:6		Alex Gil Ble	
Flamingrow 2 (S)	RLD	57_Flamingrow_2S.jpg	57	Virtuous	2	Spirit	7			SU	ABILITY: Once per turn, you may draw 1 card for each F, H, or L Animo in your small group.		Counselor	John 14:16		Alex Gil Ble	
Razzbear 1 (S)	RLD	58_Razzbear_a.jpg	58	Virtuous	1	Spirit	4	L	7	SU			Bear-ing Fruit	Luke 3:8a		Christina Todd	
Vineon 1	RLD	59_Vineon.jpg	59	Virtuous	1	Spirit	3			S			Rest Easy	Matthew 11:28		Joshua Wegner	
Quillow 2 (S)	RLD	60_Quillow_2S.jpg	60	Virtuous	2	Spirit	7	?	10	SU	ABILITY: The fellowship bonus on this card is enabled as long as this card is activated in the same turn as any F, H, or L Level 1 Animo.		Peacemaker	Matthew 5:9		Christina Todd	
Prayeregrine ULTRA 1	RLD	61_Prayeregrine_ULTRA.jpg	61	Virtuous	1	Spirit	13			SUUU			Willing Spirit	Matthew 26:41		Alex Gil Ble	
Hybird ULTRA 1	RLD	62_Hybird_Ultra.jpg	62	Virtuous	1	Spirit	8	F	13	SUU			Living Water	John 7:38		Danh Tran Art	
Nico ULTRA 1	RLD	63_Nico_ULTRA.jpg	63	Virtuous	1	Spirit	6			S			Worship	John 4:24		Danh Tran Art	
Cordiawl 3	RLD	64_Cordiawl_3.jpg	64	Virtuous	3	Universal	10			UU	ABILITY: As long as this card is in your small group, all F, H, L, and S costs on your other Animo become U costs.		Loving	Luke 6:35a		Danh Tran Art	
Mercifire 1	RLD	65_Mercifire.jpg	65	Virtuous	1	Universal	7			UU	ABILITY: If this card is in your small group, you may choose to swap it with a Lv. 1 Animo from your deck with a VP of 7 or less.  Shuffle your deck afterward.		Merciful	Luke 6:36		Danh Tran Art	
Servidude 1	RLD	66_Servidude.jpg	66	Virtuous	1	Universal	5			UUU	ABILITY: This card costs 1 less power to activate for each L or S Animo in your small group.		Servant	Matthew 20:26		Christina Todd	
Razzbear 1 (RLD 67)	RLD	67_Razzbear_b.jpg	67	Virtuous	1	Universal	9			SLU			Fruitful	Matthew 7:16-17a		Christina Todd	
Razzbear 1 (RLD 68)	RLD	68_Razzbear_c.jpg	68	Virtuous	1	Universal	9			SFU			Fruitful	John 15:4		Christina Todd	
Alphalux 1	RLD	69_Alphalux.jpg	69	Virtuous	1	Universal	1			U			From the Start	John 1:1		Joshua Wegner	
Alphalux 2	RLD	70_Alphalux_2.jpg	70	Virtuous	2	Universal	8			UUU			The Way	John 14:6		Danh Tran Art	
Alphalux 3	RLD	71_Alphalux_3.jpg	71	Virtuous	3	Universal	15			UUU			Eternal King	Revelation 22:13		Danh Tran Art	
Glimmer 2	RLD	72_Glimmer_2.jpg	72	Virtuous	2	Universal	12			HLU			The Golden Rule	Luke 6:31		Lucy_Was_Taken	
Seacurl 1	RLD	73_Seacurl.jpg	73	Virtuous	1	Universal	3			U			The Least of These	Matthew 25:40		Sadie Wegner	
Vineon 2	RLD	74_Vineon_2.jpg	74	Virtuous	2	Universal	8			UU			The Vine	John 15:5		Joshua Wegner	
Heraldash 1	RLD	75_Heraldash.jpg	75	Virtuous	1	Universal	8			UUU	ACTION: All players may select a story card from their discard pile and shuffle it back into their deck.		Spread the Word	Mark 16:15		Danh Tran Art	
Lolli 1	RLD	76_Lolli.jpg	76	Virtuous	1	Universal	9			SHU			Humble Pie	Matthew 23:12		Baygent Baker	
Floraline 1	RLD	77_Floraline.jpg	77	Virtuous	1	Universal	4			UU			Set Free	John 8:31-32		Baygent Baker	
Floraline 2	RLD	78_Floraline_2.jpg	78	Virtuous	2	Universal	8			UU	ABILITY: As long as this card is in your small group, there is no limit to the number of power cards you may play from your hand into your power pool.		Free Indeed	John 8:36		Baygent Baker	
Quillow 1	RLD	79_Quillow.jpg	79	Virtuous	1	Universal	3			U			Meek	Matthew 5:5		Christina Todd	
Flamingrow 1	RLD	80_Flamingrow.jpg	80	Virtuous	1	Universal	4			UUU			Hungry	Matthew 5:6		Alex Gil Ble	
Alphalux ULTRA 1	RLD	81_Alphalux_ULTRA.jpg	81	Virtuous	1	Universal	10			UUU	ABILITY: When this card is activated, any Animo activated in the same turn gains +2 VP		Cross Bearer	Mark 8:34b		Danh Tran Art	
Babubble	RLD	82_Babubble.jpg	82	Sinnie			10				ABILITY: As long as this card remains active, your opponent may not have more than one Animo of the same NAME in their small group at a time.	Prayeregrine	Cheap Talk	Matthew 6:7		Christina Todd	
Pandit	RLD	83_Pandit.jpg	83	Sinnie			9				ACTION: Select 1 SPECIAL power card from your opponent's power pool.  They must shuffle it back into their deck.	Owlert	Thief in the Night	Luke 12:39		Joshua Hale	
Grumproast	RLD	84_Grumproast.jpg	84	Sinnie			9				ABILITY: As long as this Sinnie remains active, your opponent may have no more than 3 Animo in their small group at a time.  (If more than 3 Animo are in your opponent's small group when this card is revealed, they must discard down to 3.)	Salteeny Lv.1	Trample	Matthew 7:6		Lucy_Was_Taken	
Planttrap	RLD	85_Planttrap.jpg	85	Sinnie			8				ACTION: You may select up to three cards from your opponent's discard pile and place them on the bottom of their deck.	Vineon	Trapped	Matthew 13:22		Danh Tran Art	
Anxietor	RLD	86_Anxietor.jpg	86	Sinnie			9				ACTION: Your opponent may not play any Story or Equipment cards on their next turn.	Sowcrow ULTRA	Worried Sick	Matthew 6:27		Joshua Hale	
Globster	RLD	87_Globster.jpg	87	Sinnie			10				ABILITY: As long as this Sinnie remains active, your opponent must discard the top card in their deck as soon as their turn begins (before drawing cards).	Humbumble	Repulsive	Matthew 15:17-18		Danh Tran Art	
Judgeweed	RLD	88_Judgeweed.jpg	88	Sinnie			8				ABILITY: As long as this Sinnie is active, your opponent may not reveal Sinnies.	Glimmer Lv. 2	Judging Eye	Matthew 7:1-2		Danh Tran Art	
Woolf	RLD	89_Woolf.jpg	89	Sinnie			10				ABILITY: If this card is in your hand, you may choose to show it to your opponent and shuffle it back into your deck.  If you do, draw another card.	Flo	Deceiver	Matthew 7:15		Baygent Baker	
Hippocritter	RLD	90_Hippocritter.jpg	90	Sinnie			9				ABILITY: As long as this Sinnie remains active, the ACTIONS of your opponent's virtuous Animo have no effect.	Flamingrow Lv.2 (Hope)	Hypocrisy	Matthew 7:5		Joshua Hale	
Splidapidator	RLD	91_Splidapidator.jpg	91	Sinnie			6				ACTION: When this card is revealed, your opponent must shuffle half of the Animo from their small group back into their deck (rounding up).	Prayer Group	House Divided	Matthew 12:25		Joshua Hale	
Nastree	RLD	92_Nastree.jpg	92	Sinnie			8				ACTION: Any Animo (and any attached cards) that remain in your opponent's small group following their next turn, must be shuffled back into their deck.	Razzbear	Rotten Fruit	Matthew 7:19-20		Danh Tran Art	
Hookwurm	RLD	93_Hookwurm.jpg	93	Sinnie			8				ABILITY: As long as this Sinnie is active, all of your opponent's Animo require 1 extra U cost in order to be activated.	Alphalux ULTRA	Lukewarm	Revelation 3:15-16		Joshua Hale	
Grrrrumble	RLD	94_Grrrumble.jpg	94	Sinnie			13					Glimmer Lv. 2	Grumble Grumble	John 6:43 (NIV)		Christina Todd	
Denyala	RLD	95_Denyala.jpg	95	Sinnie			8				ABILITY: As long as this Sinnie remains active, your opponent may not use their Truth Seeker's POWER.	Profess-Hare	Denial	Luke 12:9		Joshua Wegner	
Pogo	RLD	96_Pogo.jpg	96	Sinnie			11				ACTION: When this Sinnie is revealed, both you and your opponent must discard the top card of your deck.	Cordiawl	Aye' for an 'Aye'	Matthew 5:38-39		Joshua Hale	
Flipper	RLD	97_Flipper.jpg	97	Sinnie			7/17				ABILITY: If your opponent has 40 points or more, this Sinnie gets +10 defense by revealing this V side.	Luminey Lv. 3	Two-Faced	Matthew 15:8		Danh Tran Art	
Wall-R-Us	RLD	98_Wall_R_Us.jpg	98	Sinnie			8				ABILITY: You may have up to 3 Wall-R-Us in your deck and play them on top of each other to create a 'Wall' which has a defense of the sum of each card.  Each Wall-R-Us card in the 'Wall' counts as 1 Sinnie when defeated.	Sowcrow	Hinder	Matthew 19:14		Danh Tran Art	
Fearcrow	RLD	99_Fearcrow.jpg	99	Sinnie			10				ACTION: Choose 1 Lv. 2 or Lv. 3 Animo from your opponent's small group.  Revert that Animo back to Lv. 1 by having your opponent shuffle the growth stage(s) for that Animo back into their deck.	Guppeace Lv.2	Fear	Matthew 10:28a		Danh Tran Art	
Blinderz	RLD	100_Blinderz.jpg	100	Sinnie			11				ACTION: When this Sinnie is revealed, blindly (at random) select one card from your opponent's hand and have them discard it.	Flo	Blind Guide	Matthew 15:14		Joshua Hale	
Murkay	RLD	101_Murkay.jpg	101	Sinnie			8				ABILITY: As long as this Sinnie is active, your opponent may draw no more than 2 cards during their draw phase, regardless of hand size.	Sparkube	In The Dark	Matthew 6:23		Sophia Wegner	
Waspitz	RLD	102_Waspitz.jpg	102	Sinnie			10				ACTION: When this Sinnie is revealed, select 1 card from your opponent's discard pile and set it to the side.  It may not return for the duration of the game.	Percy	Tempted	Luke 22:40		Baygent Baker	
Nastree MEGA	RLD	103_Nastree_MEGA.jpg	103	Sinnie			16					Razzbear	Rotten Fruit	Matthew 7:19-20		Danh Tran Art	
Globster MEGA	RLD	104_Globster_MEGA.jpg	104	Sinnie			16					Fetchy	Worker of Iniquity	Matthew 7:21		Danh Tran Art	
Planttrap MEGA	RLD	105_Planttrap_MEGA.jpg	105	Sinnie			16					Vineon	Among the Thorns	Matthew 13:22		Danh Tran Art	
Wall-R-Us MEGA	RLD	106_Wall_R_Us_MEGA.jpg	106	Sinnie			16					Hopper	Halt	Matthew 19:14		Danh Tran Art	
Sand Castle	RLD	107_Sand_Castle.jpg	107	Story							Search your deck for either 1 Ultra or 1 Mega Animo			Matthew 7:24-27		Victoria Skakandi	
Good Soil	RLD	108_Good_Soil.jpg	108	Story							Look at the top 7 cards of your deck.  Place 1 Animo you find there in your hand.  Shuffle your deck afterwards.			Matthew 13:1-23		Victoria Skakandi	
Mustard Seed	RLD	109_Mustard_Seed.jpg	109	Story							Discard 2 cards from your hand.  Search your deck for up to 2 growth stages for an Animo in your small group and grow that Animo.  Shuffle your deck.  If you do not have 2 cards in your hand to discard, you cannot play this card.			Matthew 13:31-32		Victoria Skakandi	
Hidden Treasure	RLD	110_Hidden_Treasure.jpg	110	Story							Place 1 card from your hand on the bottom of your deck.  If you do, you may draw 3 cards.			Matthew 13:45-46		Victoria Skakandi	
Fishing Nets	RLD	111_Fishing_Nets.jpg	111	Story							Draw 2 cards.  If this was the last card in your hand, draw 4 cards instead.			John 21:1-14		Olga Menshikova	
Lost and Found	RLD	112_Lost_and_Found.jpg	112	Story							Search your deck for any 1 card, reveal it to your opponent, and place it in your hand.  You may not paly or discard that card this turn.			Matthew 18:10-14		Victoria Skakandi	
Copper Coins	RLD	113_Copper_Coins.jpg	113	Story							Look at the top 7 cards of your deck.  You may place up to 2 power cards you find there directly into your power pool.  Shuffle your deck afterward.			Mark 12:41-44		Olga Menshikova	
Good Neighbor	RLD	114_Good_Neighbor.jpg	114	Story							You may give 2, 4, or 6 VP of your total score to any single opponent.  For every 2 points you give away, search your deck for any card (up to 3 cards) and place it/them in your hand.  Shuffle your deck afterward.  You cannot give more points than you currently have.			Luke 10:29-37		Victoria Skakandi	
The Rich Fool	RLD	115_Rich_Fool.jpg	115	Story							Draw the bottom 3 cards of your deck			Luke 12:13-31		Victoria Skakandi	
The Runaway	RLD	116_The_Runaway.jpg	116	Story							Select any Animo from your discard pile and return it to your hand.			Luke 15:11-32		Victoria Skakandi	
Gold	RLD	117_Gold.jpg	117	Equipment							If the Animo to whom this card is attached has any H- costs, they may be converted to H costs instead.			Matthew 2:1-12		Olga Menshikova	
Frankincense	RLD	118_Frankincense.jpg	118	Equipment							If the Animo to whom this card is attached has any Fx costs, they may be converted to F costs instead.			Matthew 2:1-12		Olga Menshikova	
Myrrh	RLD	119_Myyrh.jpg	119	Equipment							When attached to an Animo, this card reduces its cost by 1 S power.			Matthew 2:1-12		Olga Menshikova	
Tools of the Trade	RLD	120_Tools_Trade.jpg	120	Equipment							The L Animo to whom this card is attached gains +2 virtue points when activated.  If activated against an Active Sinnie, the Animo instead gains +4 virtue points.			Mark 6:1-6		Olga Menshikova	
Broken Jar	RLD	121_Broken_Jar.jpg	121	Equipment							When attached to an Animo, this card increases its activation cost by 1 U power.  The Animo to whom this card is attached gains +5 VP when activated.			Mark 14:1-9		Olga Menshikova	
Millstone	RLD	122_Millstone.jpg	122	Hinderance							This card may only be attached to a Sinnie with an ABILITY.  This card's ability nullifies that Sinnie's normal ability.  The player facing the Sinnie to whom this card is attached may only activate 1 Animo per turn while the Sinnie is active.			Luke 17:1-4		Olga Menshikova	
Roman Scourge	RLD	123_Roman_Scourge.jpg	123	Hinderance							Universal Animo may not be activated against the Sinnie to whom this card is attached- as long as the Sinnie is active.  If this card is attached to a Sinie that is currently 'battling' Universal Animo, those Animo must be returned to your opponent's hand.			John 19		Olga Menshikova	
Blood Money	RLD	124_Blood_Money.jpg	124	Hinderance							This card may only be attached to a MEGA Sinnie.  The Sinnie to whom this card is attached gains +8 Defense.  When the Sinnie is defeated, the opponent gets credit for defeating 2 Sinnies.			Matthew 26:14-16		Olga Menshikova	
Ezra	RLD	125_Ezra.jpg	125	Truth Seeker		Faith					During your scoring phase, you may convert any Fx cost on a single Animo to F costs.					Weirdsgn	
Levi	RLD	126_Levi.jpg	126	Truth Seeker		Hope					You may place up to 2 power cards from your hand into your power pool per turn.					Weirdsgn	
Yana	RLD	127_Yana.jpg	127	Truth Seeker		Love					Every Sinnie revealed to you has its base defense reduced by -2 pts.					Weirdsgn	
JP	RLD	128_JP.jpg	128	Truth Seeker		Spirit					Once per turn (during your setup phase), you may draw 1 card for each Lv. 2 or Lv. 3 Animo in your small group.					Weirdsgn	
Breanna	RLD	129_Breanna.jpg	129	Truth Seeker		Universal					Before the game begins, separate any 3 cards from your deck and place them face-down beneath this card.  Once per turn, you may select 1 of those cards and place it in your hand.					Weirdsgn	
Aleks	RLD	130_Aleks.jpg	130	Truth Seeker		Universal					As long as your total score is less than 30 VP, you may have up to 5 Animo in your small group at a time.					Weirdsgn	
Faith	RLD	131_Faith_Power.jpg	131	Power		Faith								Mark 2:5			/cr90
Hope	RLD	132_Hope_Power.jpg	132	Power		Hope								Luke 2:11 (KJV)			/cr90
Love	RLD	133_Love_Power.jpg	133	Power		Love								John 3:16			/cr90
Holy Spirit	RLD	134_Holy_Spirit_Power.jpg	134	Power		Spirit								Matthew 10:20			/cr90
Prayer	RLD	135_Prayer.jpg	135	Special Power							Provides 1 F, H, or L power per turn.			John 15:7			/cr90
Fasting	RLD	136_Fasting.jpg	136	Special Power							Provides 1 S or 2 U powers to one Animo per turn.			Matthew 6:17-18a			/cr90
Faith Alternate Art	RLD	137_Faith_Power_Alt.jpg	137	Power		Faith								Mark 2:5			/cr90
Hope Alternate Art	RLD	138_Hope_Power_Alt.jpg	138	Power		Hope								Luke 2:11 (KJV)			/cr90
Love Alternate Art	RLD	139_Love_Power_Alt.jpg	139	Power		Love								John 3:16			/cr90
Holy Spirit Alternate Art	RLD	140_Holy_Spirit_Alt.jpg	140	Power		Spirit								Matthew 10:20			/cr90
Prayer Group 1	RLD	141_Prayer_Group.jpg	141	Virtuous	1	Universal	3x			U?	ABILITY: You may activate this card using up to 6 of any power.  When activated, this card is worth 3 VP for each power that is used to activate it.			Matthew 18:20		Danh Tran Art	
Armorino 1 (FL 1)	FL	FL_1_Armorino.jpg	1	Virtuous	1	Faith	3			FF	ABILITY: When this card is played from your hand into your small group, you may search your deck for 1 Faith power. Shuffle afterward.		Courageous	Deuteronomy 31:6		Alex Gil Ble	
Armorino 1 (FL 2)	FL	FL_2_Armorino.jpg	2	Virtuous	1	Faith	6			FFF			Fear Less	Psalm 27:1a		Alex Gil Ble	
Armorino 2 (FL)	FL	FL_3_Armorino_2.jpg	3	Virtuous	2	Faith	7			FFx	ABILITY: When this card is played to grow Armorino Lv. 1, you may search your discard pile for 1 card and place it in your hand.		Fearless	Psalm 27:1b		Alex Gil Ble	
Armorino 3 (FL)	FL	FL_4_Armorino_3.jpg	4	Virtuous	3	Faith	10			FF	PRESERVE FAITH (1x): Instantly earn 2 VP for every Faith power in your discard pile. (No more than 10 VP may be earned in this manner.		Fearless Faith	Psalm 27:3b		Alex Gil Ble	
Trusty 1 (FL)	FL	FL_5_Trusty.jpg	5	Virtuous	1	Faith	6			FF			Walk the Line	Proverbs 3:5-6		Dhan Tran Art	
Trusty 2 (FL)	FL	FL_6_Trusty_2.jpg	6	Virtuous	2	Faith	8	S	12	FFx	ABILITY: You may choose to discard this card from your small group (including previous growth stages and any attached cards). If you do, draw four cards.		Fireproof	Isaiah 43:2b		Dhan Tran Art	
Hoofit (FL)	FL	FL_7_Hoofit.jpg	7	Virtuous	1	Faith	7			FF	ABILITY: If this card is in your hand you may choose to discard it. If you do, you may shuffle any three cards from your discard pile back into your deck.		Take Refuge	Proverbs 27:12		Dhan Tran Art	
Stagnetic (FL)	FL	FL_8_Stagnetic.jpg	8	Virtuous	1	Faith	8			FUx	ABILITY: Once per turn, as long as this card is in your small group, you may choose to discard up to 3 cards from your hand. If you do, draw 1 card for each card that you discarded in this manner.		Withstand	1 Peter 5:9		Alex Gil Ble	
Stagnetic (FL)	FL	FL_9_Stagnetic_v2.jpg	9	Virtuous	1	Faith	8			FxFx	ENDURANCE (1x): Instantly earn 5 VP if you have 20 or fewer cards in your deck and an additional 5 VP if you have 10 or fewer cards in your deck.		Endure	Matthew 24:13		Alex Gil Ble	
Plucky (FL)	FL	FL_10_Plucky.jpg	10	Virtuous	1	Faith	5	L	8	FUU			Trusting	Psalm 56:3		Christina Todd	
Maiseal (FL)	FL	FL_11_Maiseal.jpg	11	Virtuous	1	Faith	5	H	7	FF			Not Afraid	Isaiah 12:2a		Lucy_Was_Taken	
Stagnetic ULTRA (FL)	FL	FL_12_Stagnetic_ULTRA.jpg	12	Virtuous	1	Faith	10			FF			Resistance	James 4:7		Alex Gil Ble	
Armorino ULTRA (FL 13)	FL	FL_13_Armorino_ULTRA.jpg	13	Virtuous	1	Faith	10	S	14	FxFx			Strength	Psalm 28:7		Alex Gil Ble	
Armorino ULTRA (FL 14)	FL	FL_14_Armorino_ULTRA_v2.jpg	14	Virtuous	1	Faith	13	S	18	FFUxUx			Shielded	Psalm 115:11		Alex Gil Ble	
Hoofit ULTRA (FL)	FL	FL_15_Hoofit_ULTRA.jpg	15	Virtuous	1	Faith	13			FxFx	ABILITY: If this card is in your hand, you may choose to discard it. If you do, search your deck for 2 Faith powers and add them to your power pool.		Taking Refuge	Proverbs 27:12		Dhan Tran Art	
